g++ -std=c++14 part2.cc -o part2
./part2 `basename /Users/rvm/Documents/dev/advent-of-code-2024/day12`.in
U (area: 134, edges: 42):
H (area: 6, edges: 8):
D (area: 170, edges: 82):
L (area: 138, edges: 46):
S (area: 23, edges: 14):
B (area: 111, edges: 36):
H (area: 139, edges: 52):
K (area: 2, edges: 4):
Z (area: 17, edges: 14):
M (area: 148, edges: 68):
V (area: 142, edges: 44):
H (area: 98, edges: 44):
U (area: 125, edges: 68):
T (area: 100, edges: 30):
X (area: 1, edges: 4):
F (area: 1, edges: 4):
V (area: 147, edges: 64):
B (area: 1, edges: 4):
D (area: 36, edges: 28):
W (area: 2, edges: 4):
T (area: 1, edges: 4):
F (area: 128, edges: 52):
E (area: 16, edges: 12):
Z (area: 3, edges: 6):
D (area: 11, edges: 12):
F (area: 1, edges: 4):
X (area: 86, edges: 40):
G (area: 116, edges: 52):
G (area: 39, edges: 24):
N (area: 1, edges: 4):
Y (area: 47, edges: 32):
Y (area: 136, edges: 50):
A (area: 1, edges: 4):
L (area: 1, edges: 4):
Z (area: 10, edges: 10):
Q (area: 2, edges: 4):
T (area: 1, edges: 4):
N (area: 1, edges: 4):
E (area: 1, edges: 4):
S (area: 61, edges: 26):
B (area: 1, edges: 4):
Q (area: 2, edges: 4):
J (area: 2, edges: 4):
L (area: 1, edges: 4):
B (area: 1, edges: 4):
S (area: 48, edges: 30):
J (area: 2, edges: 4):
S (area: 144, edges: 64):
Z (area: 28, edges: 14):
M (area: 106, edges: 48):
J (area: 5, edges: 4):
B (area: 33, edges: 26):
C (area: 121, edges: 56):
Z (area: 5, edges: 6):
O (area: 302, edges: 16):
C (area: 1, edges: 4):
Z (area: 1, edges: 4):
F (area: 9, edges: 10):
R (area: 11, edges: 12):
J (area: 3, edges: 6):
K (area: 22, edges: 22):
P (area: 1, edges: 4):
F (area: 7, edges: 12):
Y (area: 99, edges: 42):
W (area: 15, edges: 16):
P (area: 20, edges: 14):
I (area: 102, edges: 64):
Q (area: 1, edges: 4):
F (area: 1, edges: 4):
D (area: 43, edges: 34):
H (area: 42, edges: 32):
Q (area: 1, edges: 4):
Y (area: 2, edges: 4):
